model,model_id,condition,question_id,domain,confidence_tier,pass1,pass2,ground_truth,reversal,pass1_correct,pass2_correct,logodds1,logodds2,duplicate_removed
GPT-4o-mini,openai/gpt-4o-mini,A1,q1568,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1567,Law,Boundary,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1569,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1568,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1569,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1570,Law,Medium,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1570,Law,Medium,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1569,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1571,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1570,Law,Medium,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1571,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1572,Law,High,No,No,Yes,False,False,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1571,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1572,Law,High,No,No,Yes,False,False,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1573,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1574,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1572,Law,High,No,No,Yes,False,False,False,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1573,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1574,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1573,Law,High,Yes,No,Yes,True,True,False,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1575,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1574,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1576,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1575,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1577,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1576,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1575,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1577,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1576,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1578,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1579,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1577,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1578,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1580,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1579,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1578,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A3,q1579,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1580,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1580,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1581,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1581,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1582,Law,Boundary,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1581,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1583,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1582,Law,Boundary,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1583,Law,High,No,Yes,No,True,True,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1582,Law,Boundary,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1584,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1583,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1584,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1584,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1585,Law,High,No,No,Yes,False,False,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1586,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1585,Law,High,No,No,Yes,False,False,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1587,Law,Boundary,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1586,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1585,Law,High,No,No,Yes,False,False,False,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1587,Law,Boundary,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1586,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1588,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1587,Law,Boundary,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1588,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1589,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1588,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1589,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1590,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1589,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1590,Law,Medium,Yes,No,Yes,True,True,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1591,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1590,Law,Medium,Yes,No,Yes,True,True,False,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1592,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1591,Law,Medium,Yes,No,Yes,True,True,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1591,Law,Medium,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1592,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1593,Law,Medium,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1592,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1593,Law,Medium,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1593,Law,Medium,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1594,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1594,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1595,Law,High,No,Yes,Yes,True,False,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1594,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1595,Law,High,No,Yes,Yes,True,False,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1596,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1595,Law,High,No,Yes,Yes,True,False,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1596,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1597,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1598,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1596,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1597,Law,Medium,Yes,No,Yes,True,True,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1598,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1599,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1597,Law,Medium,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A3,q1598,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1600,Law,High,No,No,Yes,False,False,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1599,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1600,Law,High,No,Yes,Yes,True,False,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1599,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1601,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1602,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1600,Law,High,No,Yes,Yes,True,False,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1601,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1602,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1602,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A3,q1601,Law,Medium,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1603,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1604,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1603,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1604,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1603,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A3,q1604,Law,High,Yes,No,Yes,True,True,False,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1605,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1605,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1606,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1605,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1607,Law,Medium,No,No,Yes,False,False,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1606,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1607,Law,Medium,No,No,Yes,False,False,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1606,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A3,q1607,Law,Medium,No,No,Yes,False,False,False,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1608,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1608,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1609,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1610,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1608,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1609,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1610,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1611,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1609,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A3,q1610,Law,Medium,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1611,Law,Medium,Yes,No,Yes,True,True,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1611,Law,Medium,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1612,Law,Boundary,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1613,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1612,Law,Boundary,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1613,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1612,Law,Boundary,Yes,No,Yes,True,True,False,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1614,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1613,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1614,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1615,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1614,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1615,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1616,Law,Boundary,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1615,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1616,Law,Boundary,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1617,Law,Medium,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1616,Law,Boundary,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1617,Law,Medium,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1618,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1617,Law,Medium,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1618,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1618,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1619,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1619,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1620,Law,Boundary,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1619,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1621,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1620,Law,Boundary,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1621,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1620,Law,Boundary,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A3,q1621,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1622,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1622,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1623,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1622,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1623,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1624,Law,Boundary,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1623,Law,High,Yes,No,Yes,True,True,False,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1624,Law,Boundary,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1625,Law,High,No,No,Yes,False,False,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1624,Law,Boundary,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1626,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1625,Law,High,No,No,Yes,False,False,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1626,Law,High,Yes,No,Yes,True,True,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1625,Law,High,No,No,Yes,False,False,False,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1627,Law,High,Yes,Yes,No,False,False,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1626,Law,High,Yes,No,Yes,True,True,False,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1627,Law,High,Yes,No,No,True,False,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1627,Law,High,Yes,No,No,True,False,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1628,Law,Medium,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1629,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1628,Law,Medium,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1629,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1630,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1628,Law,Medium,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A3,q1629,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1630,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1630,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1631,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1631,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1632,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1633,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1632,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1631,Law,Medium,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1633,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1632,Law,Medium,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1634,Law,Medium,Yes,No,Yes,True,True,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1633,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1634,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1635,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1634,Law,Medium,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1636,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1635,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1636,Law,High,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1635,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A3,q1636,Law,High,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1637,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1637,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1638,Law,Boundary,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1637,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1638,Law,Boundary,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1638,Law,Boundary,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1640,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1639,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1641,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1640,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1639,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1640,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1641,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1639,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1642,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1641,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1643,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1642,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1643,Law,Medium,Yes,No,Yes,True,True,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1642,Law,High,Yes,No,Yes,True,True,False,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1644,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1643,Law,Medium,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A1,q1644,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1644,Law,Medium,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1645,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1645,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1646,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1646,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1645,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A3,q1646,Law,Medium,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1647,Law,Medium,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1648,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1647,Law,Medium,Yes,No,Yes,True,True,False,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1648,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1647,Law,Medium,Yes,No,Yes,True,True,False,,,220
GPT-4o-mini,openai/gpt-4o-mini,A3,q1648,Law,High,Yes,Yes,Yes,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1649,Law,Boundary,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A0,q1650,Law,Boundary,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1649,Law,Boundary,No,No,No,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A3,q1649,Law,Boundary,No,No,No,False,True,True,,,220
GPT-4o-mini,openai/gpt-4o-mini,A0,q1651,Law,High,Yes,Yes,Yes,False,True,True,,,223
GPT-4o-mini,openai/gpt-4o-mini,A1,q1651,Law,High,Yes,Yes,Yes,False,True,True,,,223
